item_id,item_type,item_name,country,user_type,interest,vibe,budget_usd,travel_month,popularity_score,season_match,difficulty_match,interest_match,budget_match,is_offbeat,recommendation_score
ec438722-1c9e-448e-aac1-3f680147b1c1,destination,Cali,Colombia,family,nature,spiritual,4140.07,8,0.5,1.0,0.6,0.3,1.0,0,0.6973
2351880f-c2eb-4f51-ad7f-f78e8eeeb96d,destination,Kuwait City,Kuwait,solo,spiritual,luxury,1036.72,4,0.5,1.0,0.6,0.3,1.0,0,0.6693
e1b19aa4-73fe-4190-88a3-20b0e27ceee7,event,Glastonbury Festival,UK,solo,adventure,spiritual,6508.51,5,0.96,1.0,0.7,0.3,1.0,0,0.8065
313e9d90-18c0-458b-b95e-d3055009d4c7,destination,Sapa,Vietnam,solo,offbeat,luxury,284.48,2,0.5,1.0,0.6,0.45,0.1,1,0.7194
3264edc9-1b3f-42be-be41-fb8d847c787d,destination,Mostar,Bosnia and Herzegovina,couple,culture,budget,398.02,9,0.5,1.0,0.6,0.3,0.35,0,0.58
d670e08e-b959-4f1f-8bc4-3f59de1754ea,event,Carnaval de Barranquilla,Colombia,couple,adventure,luxury,357.46,6,0.86,0.2,0.7,0.3,0.85,0,0.5543
c4e6b6f5-e323-47e3-917a-42acb4f4e229,trek,Drakensberg Amphitheatre,South Africa,solo,culture,budget,353.25,3,0.78,1.0,0.6,0.3,0.65,1,0.6659
4db13cfb-f252-46dc-9b3d-2f99042c8385,event,Rajim Kumbh Mela,India,family,culture,relaxed,79.9,9,0.55,0.2,0.7,0.3,0.1,0,0.3878
56da9b39-3255-4910-996b-536862db993b,event,Gerewol Festival,Niger,couple,offbeat,thrill,440.71,4,0.62,0.2,0.7,0.3,1.0,0,0.4811
a374b60e-9bd8-48c8-a0da-1f984aa74c9c,destination,Playa del Carmen,Mexico,couple,spiritual,offbeat,1273.24,4,0.5,1.0,0.6,0.3,1.0,0,0.6991
7bb6b96f-0ad1-482c-a77c-06aa1d8272e3,trek,Nanda Devi Base Camp,India,couple,spiritual,relaxed,243.4,1,0.66,0.2,0.7,0.3,0.35,1,0.4451
d5cdfd07-2457-42ce-a77a-d98c595909a4,event,Gucha Trumpet Festival,Serbia,family,food,budget,1369.47,8,0.69,1.0,0.7,0.3,1.0,0,0.7069
2cae3faf-446f-4d9d-9974-07645f002372,destination,Port of Spain,Trinidad and Tobago,couple,culture,relaxed,902.15,11,0.5,1.0,0.6,0.4,0.85,0,0.6512
6aaf0759-4869-42c1-8c48-0ec7c76c8b51,destination,Amman,Jordan,couple,adventure,spiritual,5524.52,9,0.5,1.0,0.6,0.3,1.0,0,0.6933
1477c122-5c25-4f62-8de0-7c832e9872aa,event,Midsommar,Sweden,solo,culture,offbeat,415.06,7,0.82,0.2,0.7,0.45,1.0,0,0.5761
abf2642e-5178-4b1d-a6a1-3a01a43185c7,destination,Giza,Egypt,solo,culture,luxury,6502.74,3,0.5,1.0,0.6,0.3,1.0,0,0.6368
6fc06d7d-5d9b-4ffc-a685-361ff8acb7fd,destination,Puglia,Italy,couple,offbeat,luxury,1751.66,1,0.5,1.0,0.6,0.45,1.0,1,0.8388
db00384a-2452-495a-9876-99c4d03c9c7e,event,Thrissur Pooram,India,couple,food,offbeat,1734.03,7,0.93,0.2,0.7,0.3,1.0,0,0.632
f6426799-a135-48f6-98f2-60d8a74c8fc7,destination,Madrid,Spain,family,nature,luxury,7389.04,10,0.5,1.0,0.6,0.3,1.0,0,0.7046
9740,destination,Kyoto,Japan,solo,offbeat,offbeat,5647.08,6,0.56,0.9,0.87,0.21,0.0,1,0.39
a91f3286-cfca-4305-813b-6f9d809aa7e1,destination,Maastricht,Netherlands,couple,adventure,spiritual,1912.41,2,0.5,1.0,0.6,0.3,1.0,0,0.6986
