item_id,item_type,item_name,country,user_type,interest,vibe,budget_usd,travel_month,popularity_score,season_match,difficulty_match,interest_match,budget_match,is_offbeat,recommendation_score
9454,event,Cusco Food Festival,Peru,solo,food,relaxed,5437.3,8,0.43,0.85,0.8,0.88,0.38,0,0.78
9832,trek,Dzongri Trek,India,solo,offbeat,budget,5719.13,8,0.46,0.69,0.86,0.7,0.36,0,0.65
9846,trek,Atlas Mountain Trek,Morocco,couple,adventure,budget,2993.89,7,0.88,0.87,0.73,0.29,0.68,0,0.6
9709,destination,Sossusvlei,Namibia,couple,spiritual,budget,654.05,3,0.55,0.69,0.88,0.41,0.98,0,0.65
9775,trek,Cordillera Huayhuash,Peru,solo,food,relaxed,6312.02,8,0.67,0.97,0.97,0.45,0.29,0,0.65
9322,trek,Fisherman's Trail,Portugal,family,offbeat,luxury,2135.43,4,0.37,0.9,0.92,0.79,0.78,0,0.84
9901,trek,Mae Hong Son Trail,Thailand,solo,nature,budget,106.03,1,0.92,0.83,0.91,0.68,0.35,1,0.7
9846,event,Floating Lantern Festival,Thailand,couple,food,relaxed,7183.7,11,0.31,0.9,0.89,0.79,0.18,0,0.66
9396,event,Midnight Sun Marathon,Norway,couple,nature,budget,4014.68,1,0.63,0.23,0.97,0.79,0.55,0,0.58
9977,trek,Dzongri Trek,India,couple,culture,budget,6692.44,5,0.54,0.98,0.73,0.42,0.25,0,0.61
9519,event,Coffee Harvest Festival,Colombia,couple,nature,thrill,5067.16,5,0.48,0.85,0.88,0.36,0.43,0,0.59
9094,trek,Dzongri Trek,India,family,nature,offbeat,4985.92,5,0.69,0.91,0.57,0.99,0.45,1,0.89
9900,event,Coffee Harvest Festival,Colombia,couple,nature,thrill,3178.72,2,0.38,0.38,0.78,0.12,0.65,0,0.36
9189,event,Baisakhi Festival,India,couple,culture,relaxed,1228.2,7,0.72,0.54,0.98,0.93,0.88,0,0.79
9634,trek,Fisherman's Trail,Portugal,solo,culture,thrill,6219.53,7,0.54,0.93,0.91,0.38,0.3,0,0.61
9999,event,Obon Festival,Japan,solo,nature,budget,6794.19,4,0.81,0.38,0.92,0.18,0.22,0,0.26
9458,event,Masked Dance Festival,Bhutan,solo,food,spiritual,6105.81,9,0.8,0.93,0.79,0.81,0.31,0,0.76
9545,trek,Mae Hong Son Trail,Thailand,couple,food,budget,3247.28,6,0.94,0.38,0.94,0.32,0.65,1,0.46
9326,destination,Lucerne,Switzerland,couple,adventure,relaxed,3255.16,2,0.76,0.54,0.88,0.63,0.68,0,0.63
9881,destination,Nusa Penida,Indonesia,solo,culture,thrill,606.52,8,0.57,0.83,0.85,0.24,0.99,0,0.63
9256,trek,Mount Elgon Trek,Kenya,family,spiritual,thrill,5883.24,4,0.52,0.85,0.57,0.3,0.34,1,0.52
9317,trek,Dzongri Trek,India,couple,culture,offbeat,3112.59,10,0.92,0.38,0.73,0.35,0.67,1,0.45
9571,event,Coffee Harvest Festival,Colombia,solo,offbeat,relaxed,2319.63,2,0.87,0.38,0.84,0.33,0.75,0,0.47
9081,event,Midnight Sun Marathon,Norway,family,nature,budget,2875.81,10,0.46,0.38,0.95,0.76,0.69,0,0.64
9830,event,Sahara Nomad Festival,Morocco,couple,food,luxury,7868.05,9,0.33,0.23,0.99,0.26,0.1,1,0.23
9244,destination,Sundarbans,India,family,offbeat,budget,6189.91,8,0.63,0.54,0.75,0.73,0.33,0,0.6
9047,trek,Aoraki Glacier Route,New Zealand,family,adventure,budget,3813.66,2,0.66,0.95,0.18,0.88,0.59,0,0.84
9492,trek,Dzongri Trek,India,solo,adventure,thrill,6930.34,12,0.4,0.1,0.86,0.8,0.22,0,0.4
9183,event,Midnight Sun Marathon,Norway,solo,spiritual,spiritual,7487.89,4,0.6,0.69,0.76,0.47,0.14,0,0.45
9800,destination,Moalboal,Philippines,family,food,luxury,7615.04,10,0.78,0.23,0.82,0.42,0.16,0,0.28
9453,event,Sahara Nomad Festival,Morocco,couple,food,budget,2174.98,3,0.75,0.9,0.77,0.44,0.77,1,0.69
9595,destination,Sossusvlei,Namibia,family,culture,relaxed,309.05,4,0.79,0.85,0.84,0.15,0.62,0,0.54
9925,event,Ice Cave Festival,Iceland,couple,culture,budget,3398.61,4,0.93,0.69,0.84,0.37,0.62,0,0.57
9958,trek,Aoraki Glacier Route,New Zealand,family,spiritual,offbeat,6995.01,10,0.82,0.85,0.18,0.3,0.21,1,0.39
9440,destination,Fukuoka,Japan,family,culture,luxury,5035.28,10,0.64,0.23,0.87,0.64,0.47,0,0.49
9144,event,Baisakhi Festival,India,family,spiritual,luxury,7315.17,12,0.45,0.1,0.86,0.58,0.16,0,0.3
9110,trek,Aoraki Glacier Route,New Zealand,couple,food,relaxed,2439.53,7,0.36,0.38,0.58,0.26,0.75,0,0.42
9290,trek,Mae Hong Son Trail,Thailand,family,spiritual,budget,2034.02,2,0.62,0.89,0.92,0.41,0.8,1,0.69
9787,destination,Fukuoka,Japan,family,nature,budget,4411.82,5,0.73,0.84,0.89,0.2,0.54,0,0.54
9056,trek,Yosemite Panorama Trail,Canada,family,offbeat,spiritual,1696.02,1,0.5,0.38,0.92,0.72,0.84,0,0.64
