item_id,item_type,item_name,country,user_type,interest,vibe,budget_usd,travel_month,popularity_score,season_match,difficulty_match,interest_match,budget_match,is_offbeat,recommendation_score
9630,destination,Cusco,Peru,solo,culture,relaxed,7176.8,8,0.64,0.76,0.89,0.98,0.0,0,0.64
9794,trek,Annapurna Circuit,Nepal,family,adventure,spiritual,832.57,8,0.78,0.7,0.25,0.98,0.82,0,0.72
9314,destination,Chefchaouen,Morocco,couple,offbeat,spiritual,1780.62,2,0.57,0.9,0.71,0.94,0.74,1,0.83
9197,event,Pushkar Camel Fair,India,family,food,offbeat,4473.81,3,0.7,0.3,1.0,0.27,0.0,1,0.21
9903,event,Pushkar Camel Fair,India,solo,culture,spiritual,5485.68,4,0.9,0.4,0.74,0.86,0.0,0,0.46
9875,trek,Markha Valley Trek,India,solo,adventure,thrill,2962.37,7,0.62,0.79,0.95,0.19,0.11,0,0.38
9224,trek,Torres del Paine W Trek,Chile,solo,adventure,luxury,1199.7,1,0.55,0.88,0.85,0.53,0.7,0,0.67
9082,trek,Annapurna Circuit,Nepal,family,nature,spiritual,3651.57,4,0.9,0.76,0.25,0.16,0.0,0,0.28
9947,trek,Torres del Paine W Trek,Chile,solo,offbeat,luxury,1709.13,12,0.36,0.99,0.85,0.76,0.53,0,0.76
9664,trek,Milford Track,New Zealand,couple,nature,spiritual,4951.22,9,0.33,0.9,0.75,0.85,0.0,0,0.62
9414,destination,Varanasi,India,solo,culture,spiritual,1250.97,5,0.79,0.8,0.71,0.47,0.85,0,0.64
9816,event,Cherry Blossom Festival,Japan,solo,culture,luxury,6941.34,4,0.49,0.94,0.96,0.15,0.0,0,0.39
9142,event,Durga Puja,India,family,adventure,budget,2308.06,12,0.38,0.8,0.92,0.11,0.0,0,0.32
9952,trek,Markha Valley Trek,India,solo,food,relaxed,2463.16,9,0.91,0.83,0.95,0.54,0.28,0,0.57
9593,event,Naadam Festival,Mongolia,family,food,budget,6069.19,12,0.38,0.5,0.73,0.32,0.0,0,0.29
9123,trek,Inca Trail,Peru,family,culture,luxury,4125.98,8,0.74,0.89,0.5,0.59,0.0,0,0.49
9254,event,Gion Matsuri,Japan,couple,nature,thrill,6567.21,12,0.86,0.5,0.79,0.35,0.0,0,0.3
