item_id,item_type,item_name,country,user_type,interest,vibe,budget_usd,travel_month,popularity_score,season_match,difficulty_match,interest_match,budget_match,is_offbeat,recommendation_score
eb25de63-dca3-4ea1-821a-c55dce1a484f,destination,Nara,Japan,solo,nature,spiritual,379.02,6,0.5,1.0,0.6,0.3,0.35,1,0.6136
656cc008-58b3-4bab-bdb2-7057a495ff11,destination,Madrid,Spain,solo,adventure,offbeat,1763.67,6,0.5,1.0,0.6,0.3,1.0,0,0.6805
bc24928e-cb95-4112-af10-96ace0f95ac1,destination,London,United Kingdom,couple,culture,thrill,292.62,4,0.5,1.0,0.6,0.45,0.1,0,0.5615
18603782-ad6e-4838-81f1-674b07ca7692,event,Day of the Dead,Mexico,family,food,budget,893.53,1,0.9,1.0,0.7,0.3,1.0,0,0.8174
6410b02e-be22-4c17-aabe-c718526324de,destination,Tokyo,Japan,family,culture,relaxed,611.19,5,0.5,1.0,0.6,0.45,0.85,0,0.6432
00963861-6894-4a41-8da9-16ce8f4facf4,event,Oktoberfest,Germany,solo,adventure,relaxed,240.31,2,0.98,1.0,0.7,0.3,0.85,0,0.8076
ac2d1dc0-1115-4e04-8b3a-fe901cc13524,destination,Sicily,Italy,solo,offbeat,offbeat,4959.64,10,0.5,1.0,0.6,0.3,1.0,0,0.5939
00db2781-4ab5-43ab-9949-9adf364542dd,destination,Sharm El Sheikh,Egypt,family,offbeat,thrill,6145.54,9,0.5,1.0,0.6,0.4,1.0,0,0.6098
e647de84-5a7d-4b65-845f-4d45c7dc9e1d,event,La Tomatina,Spain,family,culture,budget,6436.49,6,0.9,0.2,0.7,0.45,1.0,0,0.6506
a9d0395f-e561-4347-90eb-ebd4c817b93f,destination,Tirana,Albania,solo,adventure,relaxed,3376.11,9,0.5,1.0,0.6,0.3,1.0,0,0.7067
c60ed34e-f697-4ea3-bda0-9e8d7009c75d,destination,Cesky Krumlov,Czech Republic,solo,nature,offbeat,1800.79,7,0.5,1.0,0.6,0.4,1.0,1,0.7563
